price,promo_price,code,size,url,out_of_stock,shop_id,address,product_count
1543.00,,ПР0068081,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-melkikh-porod-yagnenok-s-indeykoy-sukh/?oid=532973,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
3603.00,,ПР0066460,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-melkikh-porod-yagnenok-s-indeykoy-sukh/?oid=524248,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1598.00,,ПР0069257,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-krolik-s-indeykoy-sukh/?oid=553730,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3706.00,,ПР0068083,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-krolik-s-indeykoy-sukh/?oid=532979,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
9062.00,,ПР0068552,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-krolik-s-indeykoy-sukh/?oid=546789,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1598.00,,ПР0074921,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-hypo-svinina-s-brusnikoy-grushey-i-rozmarinom-sukh/?oid=608265,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
6998.00,6298.2,ПР0074920,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-hypo-svinina-s-brusnikoy-grushey-i-rozmarinom-sukh/?oid=608263,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1646.00,,ПР0070585,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-hypo-belaya-ryba-s-dobavleniem-brokkoli-seldereya-i-semyan-lna-sukh/?oid=572083,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8798.00,7918.2,ПР0070614,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-hypo-belaya-ryba-s-dobavleniem-brokkoli-seldereya-i-semyan-lna-sukh/?oid=572081,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
1398.00,,ПР0034053,1.5 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-srednikh-porod-s-chuvstvitelnym-pishchevareniem-yagnenok/?oid=255953,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2398.00,,ПР0037545,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-srednikh-porod-s-chuvstvitelnym-pishchevareniem-yagnenok/?oid=255938,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
7018.00,6316.2,ПР0032629,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-srednikh-porod-s-chuvstvitelnym-pishchevareniem-yagnenok/?oid=255936,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
698.00,,ПР0032625,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-i-karlikovykh-porod-yagnenok/?oid=253511,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2498.00,,ПР0039631,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-i-karlikovykh-porod-yagnenok/?oid=253520,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
5298.00,,ПР0059709,7 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-i-karlikovykh-porod-yagnenok/?oid=450197,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
1298.00,,ПР0034051,1.5 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-srednikh-porod-s-chuvstvitelnym-pishchevareniem-yagnenok/?oid=253561,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2198.00,,ПР0032617,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-srednikh-porod-s-chuvstvitelnym-pishchevareniem-yagnenok/?oid=253538,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
2398.00,,Т00007806,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-srednikh-porod-s-chuvstvitelnoy-kozhey-losos-ris/?oid=349119,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
698.00,,ПР0031241,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-duo-delice-dlya-melkikh-i-karlikovykh-porod-govyadina-ris/?oid=253397,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2298.00,,ПР0031245,2.5 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-duo-delice-dlya-melkikh-i-karlikovykh-porod-govyadina-ris/?oid=253395,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
748.00,,ПР0015465,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=255911,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2368.00,,ПР0015501,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=255909,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
4768.00,,ПР0059712,7 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=450226,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
